starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 20:57:37 2013	1365447457	0	95	95	95
Mon Apr 08 20:57:55 2013	1365447475	0	95	96	77
Mon Apr 08 20:57:13 2013	1365447433	0	95	96	82
Mon Apr 08 20:58:04 2013	1365447484	0	95	96	63
Mon Apr 08 20:57:35 2013	1365447455	0	95	96	68
Mon Apr 08 20:57:22 2013	1365447442	0	95	96	64
Mon Apr 08 20:57:53 2013	1365447473	1	95	96	62
Mon Apr 08 20:57:32 2013	1365447452	0	95	96	68
Mon Apr 08 20:57:15 2013	1365447435	0	95	96	78
Mon Apr 08 20:57:55 2013	1365447475	1	95	96	82
Mon Apr 08 20:57:08 2013	1365447428	0	95	96	80
Mon Apr 08 20:57:31 2013	1365447451	0	95	96	68
Mon Apr 08 20:57:59 2013	1365447479	0	95	96	47
Mon Apr 08 20:57:55 2013	1365447475	0	95	96	49
Mon Apr 08 20:57:30 2013	1365447450	0	95	96	72
Mon Apr 08 20:57:27 2013	1365447447	0	95	96	66
Mon Apr 08 20:57:24 2013	1365447444	0	95	96	45
Mon Apr 08 20:57:41 2013	1365447461	0	95	96	82
Mon Apr 08 20:57:56 2013	1365447476	0	95	96	60
Mon Apr 08 20:57:34 2013	1365447454	0	95	96	67
Mon Apr 08 20:57:13 2013	1365447433	0	96	96	95
Mon Apr 08 20:57:20 2013	1365447440	0	95	96	59
Mon Apr 08 20:57:53 2013	1365447473	0	96	96	58
Mon Apr 08 20:57:08 2013	1365447428	0	96	96	94
Mon Apr 08 20:57:14 2013	1365447434	0	96	96	91
Mon Apr 08 20:57:52 2013	1365447472	1	95	96	72
Mon Apr 08 20:58:00 2013	1365447480	0	96	96	39
Mon Apr 08 20:58:04 2013	1365447484	0	95	96	63
Mon Apr 08 20:57:48 2013	1365447468	0	96	96	82
Mon Apr 08 20:57:33 2013	1365447453	0	96	96	70
Mon Apr 08 20:57:36 2013	1365447456	0	95	96	59
